"Priority","AdvisoryScore","Hostname","BusinessUnit","Owner","Service","OS","RiskState","ReadinessScore","MissingPatches","LastPatchedDaysAgo","RebootPending","UnsupportedOS","RecommendedPatchGroup","SuggestedOperatorAction","AdvisoryFactors","Source"
"P4 - Monitor","15","BAYOU-APP-091","Retail","Retail","SQL","Windows Server 2022","Healthy","95","2","6","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","15","BAYOU-DC-045","Security","Security","FILE","Windows Server 2022","Healthy","95","0","6","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","15","BAYOU-APP-116","Operations","Operations","WEB","Windows Server 2022","Healthy","95","2","4","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","15","BAYOU-DC-027","Infrastructure","Infrastructure","NOC","Windows Server 2022","Healthy","95","1","4","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","15","BAYOU-DC-088","HR","HR","SQL","Windows Server 2022","Healthy","95","1","3","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","15","BAYOU-SQL-105","HR","HR","EDGE","Windows Server 2022","Healthy","95","2","2","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","15","BAYOU-WEB-008","Retail","Retail","DC","Windows Server 2022","Healthy","95","1","2","true","false","Pending Reboot Review","Track in normal patch readiness review.","Pending reboot","bayouops-demo-1780279545689.json"
"P4 - Monitor","10","BAYOU-API-087","Finance","Finance","WEB","Windows Server 2022","Warning","86","4","16","false","false","Routine Patch Cadence","Track in normal patch readiness review.","Risk state Warning","bayouops-demo-1780279545689.json"
"P4 - Monitor","10","BAYOU-DC-030","Finance","Finance","API","Windows Server 2022","Warning","88","3","16","false","false","Routine Patch Cadence","Track in normal patch readiness review.","Risk state Warning","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","ATL-FIN-021","Collector Output","Unassigned","Patch Inventory","Microsoft Windows Server 2019 Datacenter","Collector","89","0","22","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","patch-inventory.sample.json; patch-inventory.sample.csv"
"P4 - Monitor","0","BAYOU-DC-026","Infrastructure","Infrastructure","WEB","Windows Server 2022","Healthy","95","1","14","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-FILE-058","Retail","Retail","API","Windows Server 2022","Healthy","95","2","14","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-SQL-046","HR","HR","APP","Windows Server 2022","Healthy","95","2","14","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-WEB-067","Retail","Retail","EDGE","Windows Server 2022","Healthy","95","1","14","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-DC-018","Operations","Operations","API","Windows Server 2022","Healthy","95","1","13","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-EDGE-086","Infrastructure","Infrastructure","APP","Windows Server 2022","Healthy","95","2","13","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-WEB-060","Retail","Retail","WEB","Windows Server 2022","Healthy","95","2","12","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-APP-007","Operations","Operations","SQL","Windows Server 2022","Healthy","95","2","9","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-DC-052","HR","HR","APP","Windows Server 2022","Healthy","95","1","9","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-EDGE-118","HR","HR","FILE","Windows Server 2022","Healthy","95","1","9","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-NOC-083","Retail","Retail","API","Windows Server 2022","Healthy","95","1","7","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-SQL-011","HR","HR","SQL","Windows Server 2022","Healthy","95","2","7","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-SQL-038","Retail","Retail","APP","Windows Server 2022","Healthy","95","0","7","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-API-036","Finance","Finance","WEB","Windows Server 2022","Healthy","95","1","6","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-NOC-020","Security","Security","NOC","Windows Server 2022","Healthy","95","2","6","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-EDGE-028","Operations","Operations","APP","Windows Server 2022","Healthy","95","0","5","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-EDGE-119","Operations","Operations","FILE","Windows Server 2022","Healthy","95","0","5","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-WEB-013","Operations","Operations","NOC","Windows Server 2022","Healthy","95","1","5","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-FILE-032","HR","HR","NOC","Windows Server 2022","Healthy","95","1","4","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-NOC-110","Operations","Operations","DC","Windows Server 2022","Healthy","95","1","4","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-API-015","Infrastructure","Infrastructure","API","Windows Server 2022","Healthy","95","2","2","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-APP-010","Finance","Finance","API","Windows Server 2022","Healthy","95","0","2","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-EDGE-053","Security","Security","WEB","Windows Server 2022","Healthy","95","0","2","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-EDGE-056","Infrastructure","Infrastructure","FILE","Windows Server 2022","Healthy","95","0","2","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-APP-025","Operations","Operations","APP","Windows Server 2022","Healthy","95","2","1","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOU-NOC-078","Finance","Finance","SQL","Windows Server 2022","Healthy","95","2","1","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","bayouops-demo-1780279545689.json"
"P4 - Monitor","0","BAYOUOPS-WIN01","Unassigned","Unassigned","General","Microsoft Windows 11 Pro","Unknown","0","0","0","false","false","Routine Patch Cadence","Track in normal patch readiness review.","No elevated advisory factors","patch-readiness-report.csv"
